,Normal 400 Rogue 10,Normal 300 Rogue 10,Normal 200 Rogue 10
0.49,77.11111111111111,33.0,35.6
0.5,68.0,32.0,42.4
0.51,78.0,38.5,37.6
0.52,68.44444444444444,36.0,26.8
0.53,71.11111111111111,25.5,36.8
0.54,62.88888888888889,15.0,22.0
0.55,60.66666666666667,24.5,26.8
0.56,65.33333333333333,32.5,35.199999999999996
0.57,66.0,22.0,31.6
0.58,48.888888888888886,12.0,25.2
0.59,51.77777777777778,6.0,25.2
0.6,41.333333333333336,12.0,20.8
0.61,49.333333333333336,25.5,32.800000000000004
0.62,51.11111111111111,6.0,26.8
0.63,55.77777777777778,13.0,26.0
0.64,52.888888888888886,13.0,20.8
0.65,48.0,7.5,11.200000000000001
0.66,62.88888888888889,27.0,8.799999999999999
0.67,63.11111111111111,14.000000000000002,13.600000000000001
0.68,49.333333333333336,18.5,15.6
0.69,49.77777777777778,15.5,14.000000000000002
0.7,58.88888888888889,12.5,16.400000000000002
0.71,46.0,15.5,23.599999999999998
0.72,54.888888888888886,22.0,20.4
0.73,52.44444444444445,10.0,21.6
0.74,52.666666666666664,21.0,33.6
0.75,46.0,22.0,34.0
0.76,51.11111111111111,9.5,30.0
0.77,58.88888888888889,3.5000000000000004,29.599999999999998
0.78,60.22222222222222,5.0,16.0
0.79,54.666666666666664,11.5,17.2
0.8,55.77777777777778,21.0,20.4
0.81,64.88888888888889,27.0,29.599999999999998
0.82,54.0,25.0,23.200000000000003
0.83,61.77777777777778,20.0,22.400000000000002
0.84,51.33333333333333,18.5,28.000000000000004
0.85,49.77777777777778,33.5,21.2
0.86,43.111111111111114,19.5,17.599999999999998
0.87,51.11111111111111,15.5,22.8
0.88,56.00000000000001,20.5,8.799999999999999
0.89,54.888888888888886,19.5,17.599999999999998
0.9,56.666666666666664,16.0,24.0
0.91,55.55555555555556,10.0,27.6
0.92,62.0,5.5,22.0
0.93,57.77777777777777,6.5,29.2
0.94,59.333333333333336,7.000000000000001,28.4
0.95,63.11111111111111,17.0,44.4
0.96,58.666666666666664,7.000000000000001,40.400000000000006
0.97,56.222222222222214,10.5,45.2
0.98,58.22222222222222,5.0,27.200000000000003
0.99,53.11111111111111,0.0,25.2
1.0,53.333333333333336,10.0,20.4
1.01,50.0,20.5,19.2
1.02,52.22222222222223,19.5,29.599999999999998
1.03,52.888888888888886,14.000000000000002,22.8
1.04,51.33333333333333,9.5,12.8
1.05,51.55555555555556,9.5,18.0
1.06,45.33333333333333,11.5,20.8
1.07,41.11111111111111,8.0,32.800000000000004
1.08,45.33333333333333,6.5,15.6
1.09,54.22222222222223,8.5,16.8
1.1,57.99999999999999,10.0,15.6
1.11,44.44444444444444,6.5,18.8
1.12,44.666666666666664,5.0,14.000000000000002
1.13,41.77777777777778,10.0,24.4
1.14,40.22222222222222,9.5,14.799999999999999
1.15,52.666666666666664,0.0,16.400000000000002
1.16,57.111111111111114,6.0,11.600000000000001
1.17,45.111111111111114,11.5,21.6
1.18,60.88888888888889,9.0,17.2
1.19,57.111111111111114,6.5,17.2
1.2,46.44444444444444,2.5,35.199999999999996
1.21,55.333333333333336,10.0,25.6
1.22,48.66666666666667,13.5,8.4
1.23,48.44444444444444,17.0,16.8
1.24,48.0,14.499999999999998,25.2
1.25,54.888888888888886,7.000000000000001,27.6
1.26,53.11111111111111,8.0,14.799999999999999
1.27,59.111111111111114,11.0,5.2
1.28,48.888888888888886,10.5,14.799999999999999
1.29,57.55555555555556,12.0,10.8
1.3,50.66666666666667,11.5,6.800000000000001
1.31,58.44444444444444,16.0,11.600000000000001
1.32,66.22222222222223,12.0,17.2
1.33,64.44444444444444,5.0,4.8
1.34,61.55555555555555,7.000000000000001,5.2
1.35,58.88888888888889,6.0,14.000000000000002
1.36,56.888888888888886,11.5,26.0
1.37,56.00000000000001,10.5,19.2
1.38,54.22222222222223,13.0,24.8
1.39,50.66666666666667,19.0,9.2
1.4,51.55555555555556,10.0,25.6
1.41,54.22222222222223,11.5,35.199999999999996
1.42,49.77777777777778,22.0,24.4
1.43,46.22222222222222,15.0,21.6
1.44,53.11111111111111,12.0,28.000000000000004
1.45,50.0,8.5,27.200000000000003
1.46,64.44444444444444,8.5,23.599999999999998
1.47,62.0,14.000000000000002,24.8
1.48,55.77777777777778,13.5,27.200000000000003
1.49,56.222222222222214,12.0,18.8
1.5,59.77777777777777,4.0,22.0
1.51,56.222222222222214,13.0,20.0
1.52,54.888888888888886,7.000000000000001,15.6
1.53,38.88888888888889,11.5,24.4
1.54,48.0,7.5,27.6
1.55,51.55555555555556,0.5,17.2
1.56,49.77777777777778,0.5,21.6
1.57,54.666666666666664,0.5,14.399999999999999
1.58,56.666666666666664,7.5,17.599999999999998
1.59,56.222222222222214,8.0,17.599999999999998
1.6,54.22222222222223,2.5,16.8
1.61,54.0,0.0,13.600000000000001
1.62,56.44444444444444,14.499999999999998,6.4
1.63,40.0,12.5,9.6
1.64,36.22222222222222,12.5,5.6000000000000005
1.65,52.44444444444445,6.5,8.799999999999999
1.66,55.55555555555556,8.5,2.4
1.67,58.22222222222222,5.5,7.199999999999999
1.68,50.0,2.0,4.3999999999999995
1.69,53.333333333333336,0.0,4.8
1.7,56.666666666666664,6.5,10.4
1.71,56.666666666666664,9.5,4.3999999999999995
1.72,61.33333333333333,17.0,4.3999999999999995
1.73,54.44444444444444,4.0,5.6000000000000005
1.74,46.666666666666664,7.5,5.6000000000000005
1.75,46.22222222222222,15.0,10.0
1.76,56.888888888888886,9.0,0.0
1.77,55.111111111111114,11.0,14.399999999999999
1.78,53.11111111111111,7.5,10.8
1.79,59.77777777777777,9.0,8.0
1.8,48.66666666666667,13.0,6.800000000000001
1.81,46.0,4.0,4.8
1.82,49.333333333333336,3.5000000000000004,10.4
1.83,52.22222222222223,2.0,10.8
1.84,52.44444444444445,0.5,6.0
1.85,58.22222222222222,0.0,10.0
1.86,52.0,0.0,15.2
1.87,48.22222222222222,5.5,18.0
1.88,52.44444444444445,10.0,11.600000000000001
1.89,37.77777777777778,10.5,15.2
1.9,41.77777777777778,5.0,16.0
1.91,38.0,2.5,6.800000000000001
1.92,34.88888888888889,0.0,10.8
1.93,49.333333333333336,6.5,8.799999999999999
1.94,56.888888888888886,6.5,7.6
1.95,56.666666666666664,0.0,2.4
1.96,58.44444444444444,7.000000000000001,6.0
1.97,50.44444444444445,7.000000000000001,5.6000000000000005
1.98,54.0,7.000000000000001,8.0
1.99,43.77777777777778,3.5000000000000004,6.800000000000001
2.0,57.111111111111114,0.0,5.2
2.01,48.888888888888886,7.000000000000001,2.8000000000000003
2.02,49.77777777777778,7.5,7.199999999999999
2.03,53.333333333333336,8.0,6.800000000000001
2.04,54.666666666666664,6.5,6.800000000000001
2.05,46.22222222222222,1.5,6.800000000000001
2.06,51.77777777777778,6.0,6.800000000000001
2.07,59.55555555555555,9.0,9.6
2.08,57.55555555555556,6.5,5.6000000000000005
2.09,50.66666666666667,7.5,2.4
2.1,56.888888888888886,4.5,0.8
2.11,51.77777777777778,0.0,0.0
2.12,49.333333333333336,0.0,0.0
2.13,46.22222222222222,0.0,4.3999999999999995
2.14,52.0,8.5,4.0
2.15,53.11111111111111,12.5,0.0
2.16,56.00000000000001,13.5,0.0
2.17,55.77777777777778,0.0,0.0
2.18,55.111111111111114,0.0,0.0
2.19,52.22222222222223,4.5,5.6000000000000005
2.2,47.77777777777778,8.5,0.0
2.21,51.55555555555556,3.0,0.0
2.22,43.77777777777778,0.0,0.0
2.23,50.66666666666667,5.0,6.0
2.24,44.44444444444444,5.0,5.2
2.25,41.11111111111111,5.0,0.0
2.26,49.55555555555556,0.0,0.0
2.27,47.55555555555556,0.0,0.0
2.28,38.22222222222222,6.5,5.2
2.29,48.22222222222222,8.5,0.0
2.3,42.44444444444444,6.0,0.0
2.31,42.888888888888886,2.5,0.0
2.32,38.0,0.0,6.0
2.33,38.22222222222222,0.0,6.0
2.34,43.77777777777778,0.0,8.0
2.35,48.22222222222222,0.0,6.800000000000001
2.36,37.55555555555555,0.0,4.3999999999999995
2.37,47.55555555555556,6.0,0.0
2.38,52.666666666666664,0.0,0.0
2.39,47.333333333333336,4.5,0.0
2.4,48.66666666666667,11.0,0.0
2.41,56.44444444444444,7.000000000000001,0.0
2.42,51.11111111111111,7.5,0.0
2.43,51.55555555555556,9.0,0.0
2.44,45.111111111111114,7.5,0.0
2.45,59.333333333333336,10.5,0.0
2.46,60.66666666666667,4.5,0.0
2.47,56.222222222222214,2.5,0.0
2.48,58.88888888888889,4.5,0.0
2.49,52.0,7.000000000000001,0.0
2.5,44.22222222222222,0.5,0.0
2.51,51.33333333333333,0.0,0.0
2.52,55.55555555555556,0.0,0.0
2.53,43.111111111111114,0.0,0.0
2.54,43.77777777777778,10.0,0.0
2.55,45.33333333333333,2.0,0.0
2.56,48.66666666666667,0.0,0.0
2.57,62.44444444444445,5.0,0.0
2.58,55.111111111111114,0.0,0.0
2.59,57.333333333333336,0.0,0.0
2.6,56.666666666666664,6.5,0.0
2.61,55.111111111111114,6.5,6.0
2.62,53.11111111111111,6.5,6.0
2.63,46.88888888888889,6.5,0.0
2.64,50.66666666666667,6.5,
2.65,52.44444444444445,8.5,
2.66,44.888888888888886,7.000000000000001,
2.67,52.44444444444445,2.5,
2.68,53.333333333333336,0.0,
2.69,45.77777777777778,0.0,
2.7,46.22222222222222,7.000000000000001,
2.71,46.666666666666664,7.000000000000001,
2.72,50.0,7.000000000000001,
2.73,54.888888888888886,6.5,
2.74,45.33333333333333,6.5,
2.75,44.666666666666664,10.0,
2.76,51.77777777777778,10.0,
2.77,55.77777777777778,10.0,
2.78,48.0,6.5,
2.79,47.333333333333336,3.0,
2.8,51.77777777777778,3.0,
2.81,42.66666666666667,3.0,
2.82,51.33333333333333,6.0,
2.83,45.77777777777778,0.0,
2.84,43.333333333333336,9.5,
2.85,46.22222222222222,9.0,
2.86,39.111111111111114,3.5000000000000004,
2.87,39.33333333333333,2.5,
2.88,51.55555555555556,0.0,
2.89,54.22222222222223,0.0,
2.9,50.66666666666667,0.0,
2.91,46.44444444444444,0.0,
2.92,45.55555555555556,0.0,
2.93,48.22222222222222,0.0,
2.94,47.11111111111111,0.0,
2.95,52.666666666666664,0.0,
2.96,49.55555555555556,7.000000000000001,
2.97,53.55555555555556,0.0,
2.98,46.88888888888889,0.0,
2.99,44.22222222222222,0.0,
3.0,36.666666666666664,0.0,
3.01,42.888888888888886,0.0,
3.02,39.77777777777778,0.0,
3.03,41.55555555555556,0.0,
3.04,39.55555555555556,0.0,
3.05,42.22222222222222,0.0,
3.06,39.55555555555556,0.0,
3.07,51.77777777777778,0.0,
3.08,48.888888888888886,0.0,
3.09,48.0,0.0,
3.1,44.888888888888886,0.0,
3.11,52.666666666666664,0.0,
3.12,50.0,0.0,
3.13,46.666666666666664,6.5,
3.14,38.22222222222222,6.5,
3.15,48.44444444444444,0.0,
3.16,45.111111111111114,0.0,
3.17,53.77777777777778,0.0,
3.18,51.33333333333333,0.0,
3.19,56.888888888888886,0.0,
3.2,54.666666666666664,0.0,
3.21,53.333333333333336,0.0,
3.22,55.55555555555556,7.000000000000001,
3.23,52.888888888888886,7.000000000000001,
3.24,49.111111111111114,7.000000000000001,
3.25,50.22222222222222,7.000000000000001,
3.26,59.333333333333336,7.000000000000001,
3.27,58.22222222222222,7.000000000000001,
3.28,55.333333333333336,0.0,
3.29,48.44444444444444,0.0,
3.3,50.66666666666667,0.0,
3.31,48.44444444444444,6.0,
3.32,36.666666666666664,6.0,
3.33,27.555555555555557,6.0,
3.34,47.11111111111111,6.0,
3.35,48.888888888888886,6.0,
3.36,51.33333333333333,6.0,
3.37,45.111111111111114,0.0,
3.38,48.66666666666667,,
3.39,45.77777777777778,,
3.4,54.666666666666664,,
3.41,40.88888888888889,,
3.42,44.44444444444444,,
3.43,52.0,,
3.44,47.55555555555556,,
3.45,48.66666666666667,,
3.46,40.0,,
3.47,46.88888888888889,,
3.48,50.44444444444445,,
3.49,62.88888888888889,,
3.5,59.77777777777777,,
3.51,55.333333333333336,,
3.52,55.111111111111114,,
3.53,53.11111111111111,,
3.54,59.333333333333336,,
3.55,56.00000000000001,,
3.56,58.22222222222222,,
3.57,52.666666666666664,,
3.58,43.333333333333336,,
3.59,36.666666666666664,,
3.6,42.66666666666667,,
3.61,49.77777777777778,,
3.62,51.77777777777778,,
3.63,54.44444444444444,,
3.64,55.333333333333336,,
3.65,50.22222222222222,,
3.66,41.333333333333336,,
3.67,49.111111111111114,,
3.68,52.666666666666664,,
3.69,55.55555555555556,,
3.7,56.44444444444444,,
3.71,49.77777777777778,,
3.72,56.222222222222214,,
3.73,58.22222222222222,,
3.74,69.11111111111111,,
3.75,55.333333333333336,,
3.76,53.77777777777778,,
3.77,56.888888888888886,,
3.78,53.77777777777778,,
3.79,46.88888888888889,,
3.8,52.22222222222223,,
3.81,43.111111111111114,,
3.82,56.44444444444444,,
3.83,55.333333333333336,,
3.84,57.333333333333336,,
3.85,56.00000000000001,,
3.86,51.77777777777778,,
3.87,48.66666666666667,,
3.88,55.77777777777778,,
3.89,55.111111111111114,,
3.9,50.66666666666667,,
3.91,53.55555555555556,,
3.92,51.55555555555556,,
3.93,57.333333333333336,,
3.94,61.55555555555555,,
3.95,63.33333333333333,,
3.96,65.55555555555556,,
3.97,64.22222222222223,,
3.98,59.77777777777777,,
3.99,56.222222222222214,,
4.0,51.55555555555556,,
4.01,48.66666666666667,,
4.02,52.0,,
4.03,45.111111111111114,,
4.04,51.55555555555556,,
4.05,40.88888888888889,,
4.06,42.888888888888886,,
4.07,45.77777777777778,,
4.08,46.22222222222222,,
4.09,44.44444444444444,,
4.1,38.88888888888889,,
4.11,49.333333333333336,,
4.12,50.22222222222222,,
4.13,43.111111111111114,,
4.14,57.333333333333336,,
4.15,53.11111111111111,,
4.16,46.22222222222222,,
4.17,46.666666666666664,,
4.18,30.666666666666664,,
4.19,33.77777777777778,,
4.2,46.0,,
4.21,53.11111111111111,,
